Parameter	DF	Estimate	Standard
Error	t Value
Intercept	1	3.638448	5.489206	0.66
IntLotFrontage	1	-0.000231	0.000180	-1.29
MSSubClass	1	-0.000139	0.000271	-0.51
MSZoning C	1	-0.363794	0.049672	-7.32
MSZoning FV	1	0.089339	0.036685	2.44
MSZoning RH	1	0.082802	0.041817	1.98
MSZoning RL	1	0.042371	0.019576	2.16
MSZoning RM	0	0	.	.
LogLotArea	1	0.073297	0.014811	4.95
Street Grvl	1	-0.104974	0.081294	-1.29
Street Pave	0	0	.	.
Alley Gr	1	-0.030194	0.031107	-0.97
Alley NA	1	-0.023189	0.024085	-0.96
Alley Pa	0	0	.	.
LotShape IR1	1	-0.005405	0.008779	-0.62
LotShape IR2	1	-0.002317	0.025241	-0.09
LotShape IR3	1	0.104030	0.051881	2.01
LotShape Reg	0	0	.	.
LandContour Bnk	1	-0.016821	0.019728	-0.85
LandContour HLS	1	0.002394	0.020205	0.12
LandContour Low	1	-0.019266	0.035364	-0.54
LandContour Lvl	0	0	.	.
LotConfig Corner	1	0.011597	0.009262	1.25
LotConfig CulDSac	1	0.038674	0.018839	2.05
LotConfig FR2	1	-0.034966	0.020854	-1.68
LotConfig FR3	1	-0.058528	0.057155	-1.02
LotConfig Inside	0	0	.	.
LandSlope Gtl	1	0.162705	0.062692	2.60
LandSlope Mod	1	0.194058	0.063807	3.04
LandSlope Sev	0	0	.	.
Neighborhood Blmngtn	1	-0.038976	0.055737	-0.70
Neighborhood Blueste	1	0.048870	0.094765	0.52
Neighborhood BrDale	1	0.015966	0.061695	0.26
Neighborhood BrkSide	1	0.017606	0.052995	0.33
Neighborhood ClearCr	1	-0.041058	0.055257	-0.74
Neighborhood CollgCr	1	-0.068908	0.045604	-1.51
Neighborhood Crawfor	1	0.082490	0.049230	1.68
Neighborhood Edwards	1	-0.131454	0.047121	-2.79
Neighborhood Gilbert	1	-0.075630	0.047938	-1.58
Neighborhood IDOTRR	1	0.016598	0.059375	0.28
Neighborhood MeadowV	1	-0.111492	0.061584	-1.81
Neighborhood Mitchel	1	-0.091530	0.048559	-1.88
Neighborhood NAmes	1	-0.071000	0.045743	-1.55
Neighborhood NPkVill	1	-0.039215	0.063236	-0.62
Neighborhood NWAmes	1	-0.105459	0.047771	-2.21
Neighborhood NoRidge	1	0.009716	0.048844	0.20
Neighborhood NridgHt	1	0.029834	0.047341	0.63
Neighborhood OldTown	1	-0.042704	0.053329	-0.80
Neighborhood SWISU	1	-0.035793	0.055234	-0.65
Neighborhood Sawyer	1	-0.074587	0.047434	-1.57
Neighborhood SawyerW	1	-0.070324	0.046769	-1.50
